127.0.0.1 - - [24/Aug/2016:08:38:11 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:38:29 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:38:31 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:38:31 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:00 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:01 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:02 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:02 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:02 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:02 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:02 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:02 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:02 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:02 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:02 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:02 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:02 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:02 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:02 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:04 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:05 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:39:05 -0300] "GET /06-Loja/cadastro-produto.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [24/Aug/2016:08:40:21 -0300] "GET /06-Loja/cadastro-produto.jsp?titulo=&descricao=&valor=&fabricante=Selecione HTTP/1.1" 200 983
